;Marca;Preco;Preco Boleto
205;Placa de Video Gigabyte GeForce RTX 3080 Aorus Xtreme Waterforce, LHR, 10GB, GDDR6X, 320-bit, GV-N3080AORUSXW-10GD-REV2.0;0;0
206;Placa de Video Gigabyte GeForce RTX 3080 Aorus Master, 12GB, GDDR6X, 384-bit, GV-N3080AORUSM-12GD;0;0
207;Placa de Video Gigabyte GeForce GT 730, 2GB, DDR3, 64-Bit, GV-N730D3-2GI-REV3.0;0;0
208;Placa de Video Gigabyte GeForce RTX 3090 Ti Aorus Xtreme Waterforce, 24GB, GDDR6X, 384-bit, GV-N309TAORUSXW-24GD;0;0
209;Placa de Video Gigabyte Radeon RX 6750 XT Aorus Elite, 12GB, GDDR6, 192-bit, GV-R675XTAORUSE-12GD;0;0
210;Placa de Video Gigabyte Radeon RX 6750 XT Gaming OC, 12GB, GDDR6, 192-bit, GV-R675XTGAMINGOC-12GD;0;0
211;Placa de Video Gigabyte Radeon RX 6650 XT Eagle, 8GB, GDDR6, 128-Bit, GV-R665XTEAGLE-8GD;0;0
212;Placa de Video Gigabyte Radeon RX 6650 XT Gaming OC, 8GB, GDDR6, 128-Bit, GV-R665XTGAMINGOC-8GD;0;0
213;Placa de Video Gigabyte GeForce RTX 3090 Ti Gaming OC, 24GB, GDDR6X, 384-bit, GV-N309TGAMINGOC-24GD;0;0
214;Placa de Video Gigabyte GeForce RTX 3090 Ti Gaming, 24GB, GDDR6X, 384-bit, GV-N309TGAMING-24GD;0;0
215;Placa de Video Galax GeForce RTX 2060 Plus 1-Click OC, 6GB, GDDR6, 192-bit, 26NRL7HP68CX;0;0
216;Placa de Video Galax GeForce RTX 3050 1-Click OC v2, 8GB, GDDR6, 128-bit, 35NSL8MD5YBP;0;0
217;Placa de Video MSI GeForce RTX 3060 Ventus 2X OC, 12GB, GDDR6, 192-bit, 912-V397-484;0;0
218;Placa de Video MSI GeForce GTX 1660 Super Gaming X, 6GB, GDDR6, 192-bit, 912-V375-446;0;0
219;Placa de Video MSI GeForce RTX 3060 Gaming X, 12GB, GDDR6, 192-bit, 912-V397-019;0;0
220;Placa de Video MSI GeForce RTX 3070 Ti Ventus 3X OC, 8GB, GDDR6X, 256-bit, 912-V505-007;0;0
221;Placa de Video MSI GeForce RTX 3080 Ventus 3x Plus, LHR, 10GB, GDDR6X, 320-bit, 912-V389-263;0;0
222;Placa de Video MSI GeForce RTX 3080 Ventus 3x Plus, LHR, 12GB, GDDR6X, 384-bit, 912-V389-428;0;0
223;Placa de Video MSI GeForce RTX 3080 Ti Ventus 3x OC, 12GB, GDDR6X, 384-bit, 912-V389-059;0;0
224;Placa de Video MSI Radeon RX 6600 Mech 2x, 8GB, GDDR6, 128-bit, RX6600-MECH2x;0;0
225;Placa de Video Gigabyte GeForce RTX 3080 Gaming OC, 12GB, GDDR6X, 384-bit, GV-N3080GAMING OC-12GD;0;0
226;Placa de Video Gigabyte GeForce RTX 3060 Ti Vision OC, LHR, 8GB, GDDR6, 256-bit, GV-N306TVISION OC-8GD REV2.0;0;0
227;Placa de Video Asus GeForce RTX 3070 Dual, LHR, 8GB, GDDR6, 256-bit, DUAL-RTX3070-8G-V2;0;0
228;Placa de Video ASRock Radeon RX 6750 XT Phantom Gaming D OC, 12GB, GDDR6, 192-Bit, 90-GA3NZZ-00UANF;0;0
229;Placa de Video Galax Geforce RTX 3080 SG 1-Click OC, LHR, 12GB, GDDR6X, 384-bit, 38NOM5MD99SS;0;0
230;Placa de Video Mancer Radeon RX 550, 4GB, GDDR5, 128-bit, MCR-RX5504GD5-V4;0;0
231;Placa de Video Mancer Radeon RX 550, 4GB, GDDR5, 128-bit, MCR-RX5504GDDR5-V3;0;0
232;Placa de Video Mancer Radeon RX 560, 4GB, GDDR5, 128-bit, MCR-RX5604GDDR5-V2;0;0
233;Placa de Video Mancer GeForce GTX 1060, 3GB, GDDR5, 192-bit, MCR-10603GDDR5-V1;0;0
234;Placa de Video Gigabyte GeForce RTX 3080 Ti Eagle OC, 12GB, GDDR6X, 384-bit, GV-N308TEAGLE OC-12GD;0;0
235;Placa de Video Gigabyte Radeon RX 6700 XT Eagle, 12GB, GDDR6, 192-bit, GV-R67XTEAGLE-12GD;0;0
236;Placa de Video Gigabyte GeForce RTX 3070 Ti Vision OC, 8GB, GDDR6X, 256-bit, GV-N307TVISION OC-8GD;0;0
237;Placa de Video Gigabyte GeForce RTX 3070 Ti Gaming OC, 8GB, GDDR6X, 256-bit, GV-N307TGAMING OC-8GD;0;0
238;Placa de Video Asus GeForce RTX 3080 TUF Gaming OC, LHR, 12GB, GDDR6X, 384-bit, TUF-RTX3080-O12G-GAMING;0;0
239;Placa de Video Asus GeForce RTX 3070 Ti ROG Strix OC, 8GB, GDDR6X, 256-bit, ROG-STRIX-RTX3070TI-8G-GAMING;0;0
240;Placa de Video Gigabyte GeForce RTX 2060 Super Windforce OC, 8GB, GDDR6, 256-bit, GV-N206SWF2OC-8GD rev 1.1;0;0
241;Placa de Video Gigabyte Radeon RX 6900 XT Aorus Master, 16GB, GDDR6, 256-bit, GV-R69XTAORUS M-16GD;0;0
242;Placa de Video Sapphire Radeon RX 6500 XT Pulse OC, 4GB, GDDR6, 64-Bit, 11314-01-20G;0;0
243;Placa de Video Asus GeForce RTX 3070 Noctua OC, LHR, 8GB, GDDR6, 256-bit, RTX3070-O8G-NOCTUA;0;0
244;Placa de Video PCYES Radeon RX 550, 4GB, GDDR5, 128-bits, PJRX550DR5128B;0;0
245;Placa de Video MSI GeForce RTX 3050 Gaming X, 8GB, GDDR6, 128-bit, 912-V397-423;0;0
246;Placa de Video MSI GeForce RTX 3050 Ventus 2x OC, 8GB, GDDR6, 128-bit, 912-V397-418;0;0
247;Placa de Video MSI Radeon RX 6500 XT Mech 2x OC, 4GB, GDDR6, 64-bit, 912-V508-003;0;0
248;Placa de Video Asus GeForce GTX 1650 Dual Mini OC, 4GB, GDDR6, 128-bit, DUAL-GTX1650-O4GD6-MINI;0;0
249;Placa de Video Asus GeForce RTX 3050 Dual OC, 8GB, GDDR6, 128-bit, DUAL-RTX3050-O8G;0;0
250;Placa de Video Gigabyte GeForce GTX 1650 D6 OC, 4GB, GDDR6, 128-bit, GV-N1656OC-4GD REV 2.0-IMP;0;0
251;Placa de Video Asus GeForce RTX 3080 ROG Strix OC, LHR, 12GB, GDDR6X, 384-bit, ROG-STRIX-RTX3080-O12G-GAMING;0;0
252;Placa de Video Asus GeForce RTX 3080 TUF Gaming, LHR, 12GB, GDDR6X, 384-bit, TUF-RTX3080-12G-GAMING;0;0
253;Placa de Video MSI GeForce RTX 3060 Ventus 3X OC, 12GB, GDDR6, 192-bit, 912-V397-051;0;0
254;Placa de Video PNY Quadro RTX A2000, 6GB, GDDR6, 192-bit, VCNRTXA2000-PB-NAC;0;0
255;Placa de Video Galax Geforce RTX 3060 Ti 1-Click OC, LHR, 8GB, GDDR6, 256-Bit, 36ISL6MD1VQW-NAC;0;0
256;Placa de Video Galax GeForce RTX 2060 1-Click OC, 6GB, GDDR6, 192-bit, 26NRL7HPX7OC-NAC;0;0
257;Placa de Video Afox Radeon R5 220, 1GB, GDDR3, 64-bit, AFR5220-1024D3L5-V2;0;0
258;Placa de Video Gigabyte Radeon RX 6700 XT Gaming OC, 12GB, GDDR6, 192-bit, GV-R67XTGAMING OC-12GD;0;0
259;Placa de Video Gigabyte GeForce RTX 3070 Gaming OC, LHR, 8GB, GDDR6, 256-bit, GV-N3070GAMING OC-8GD REV 2.0;0;0
260;Placa de Video Gigabyte GeForce RTX 3080 Vision OC, LHR, 10GB, GDDR6X, 320-bit, GV-N3080VISION OC-10GD REV 2.0;0;0
261;Placa de Video Gigabyte GeForce RTX 3070 Ti Eagle OC, 8GB, GDDR6X, 256-bit, GV-N307TEAGLE OC-8GD;0;0
262;Placa de Video Zotac GeForce RTX 3050 Twin Edge, 8GB, GDDR6, 128-bit, ZT-A30500E-10M;0;0
263;Placa de Video Galax GeForce RTX 3050 1-Click OC, 8GB, GDDR6, 128-bit, 35NSL8MD6ZOC;0;0
264;Placa de Video Gigabyte GeForce RTX 2060 D6, 6GB, GDDR6, 192-bit, GV-N2060D6-6GD-REV2.0-NAC;0;0
265;Placa de Video Gainward GeForce RTX 3070 Ti Phoenix, 8GB, GDDR6X, 256-bit, NED307T019P2-1046X-NAC;0;0
266;Placa de Video ASRock Radeon RX 6500 XT Phantom Gaming D OC, 4GB, GDDR6, 64-Bit, 90-GA3DZZ-00UANF;0;0
267;Placa de Video Gigabyte Radeon RX 6500 XT Eagle, 4GB, GDDR6, 64-Bit, GV-R65XTEAGLE-4GD;0;0
268;Placa de Video PCYES Radeon RX 550, 4GB, GDDR5, 128-bit, PAJRX550DR5DF;0;0
269;Placa de Video Galax GeForce RTX 3070 Ti 1-Click OC, 8GB, GDDR6X, 256-bit, 37ISM6MD4COC-NAC;0;0
270;Placa de Video Asus GeForce RTX 3080 TUF Gaming, LHR, 10GB, GDDR6X, 320-bit, TUF-RTX3080-10G-V2-GAMING;0;0
271;Placa de Video Gainward GeForce RTX 3080 Ti Phantom, 12GB, GDDR6X, 384-bit, NED308T019KB-1020M;0;0
272;Placa de Video Gainward GeForce RTX 3080 Ti Phoenix, 12GB, GDDR6X, 384-bit, NED308T019KB-132AX;0;0
273;Placa de Video Gainward GeForce RTX 3080 Phantom+, LHR, 10GB, GDDR6, 320-bit, NED3080U19IA-1020M;0;0
274;Placa de Video Gainward GeForce RTX 3070 Ti Phoenix, 8GB, GDDR6X, 256-bit, NED307T019P2-1046X;0;0
275;Placa de Video Gainward GeForce RTX 3070 Phantom+, LHR, 8GB, GDDR6, 256-bit, NE63070019P2-1040M;0;0
276;Placa de Video Gainward GeForce RTX 3060 Ti Ghost V1, LHR, 8GB, GDDR6, 256-bit, NE6306T019P2-190AB;0;0
277;Placa de Video Gainward GeForce RTX 3060 Ghost, 12GB, GDDR6, 192-bit, NE63060019K9-190AU;0;0
278;Placa de Video Gainward GeForce RTX 3060 Pegasus, 12GB, GDDR6, 192-bit, NE63060019K9-190AE;0;0
279;Placa de Video Asus GeForce RTX 3070 ROG Strix White Edition, OC, LHR, 8GB, GDDR6, 256-bit, ROG-STRIX-RTX3070-O8G-WHITE-V2;0;0
280;Placa de Video Galax GeForce GTX 1660 Ti 1-Click OC, 6GB, GDDR6, 192-Bit, 60IRL7DSY91C-NAC;0;0
281;Placa de Video Asus GeForce GTX 1660 Ti TUF Gaming OC, 6GB, GDDR6, 192-bit, TUF-GTX1660TI-O6G-EVO-GAMING-NAC;0;0
282;Placa de Video Afox GeForce GT 610, 2GB, DDR3, 64-Bit, AF610-2048D3L7-V5;0;0
283;Placa de Video Gainward Geforce GTX 1650 D6 Ghost, 4GB, GDDR6, 128-bit, NE6165001BG1-1175D-NAC;0;0
284;Placa de Video Galax GeForce RTX 3070 1-Click OC, LHR, 8GB, GDDR6, 256-bit, 37NSL6MD2KCH-NAC;0;0
285;Placa de Video Galax Geforce RTX 3080 SG 1-Click OC, LHR, 10GB, GDDR6X, 320-bit, 38NWM3MD99RG-NAC;0;0
286;Placa de Video Gigabyte Radeon RX 6600 XT Gaming OC, 8GB, GDDR6, 128-Bit, GV-R66XTGAMING OC-8GD;0;0
287;Placa de Video Gigabyte GeForce RTX 3080 Aorus Xtreme, LHR, 10GB, GDDR6X, 320-bit, GV-N3080AORUS X-10GD REV 2.0;0;0
288;Placa de Video Gigabyte GeForce RTX 3080 Aorus Master, LHR, 10GB, GDDR6X, 320-bit, GV-N3080AORUS M-10GD REV 3.0;0;0
289;Placa de Video MSI GeForce GTX 1650 Ventus XS OC, 4GB, GDDR5, 128-bit, 912-V809-3060;0;0
290;Placa de Video Galax GeForce RTX 3070 Ti 1-Click OC, 8GB, GDDR6X, 256-bit, 37ISM6MD4COC;0;0
291;Placa de Video Asus GeForce RTX 3080 TUF Gaming OC, LHR, 10GB, GDDR6X, 320-bit, TUF-RTX3080-O10G-V2-GAMING;0;0
292;Placa de Video Asus GeForce GTX 1650 Phoenix, 4GB, GDDR5, 128-bit, PH-GTX1650-4G;0;0
293;Placa de Video Asus GeForce GTX 1650 Dual, 4GB, GDDR5, 128-bit, DUAL-GTX1650-4G;0;0
294;Placa de Video MSI GeForce GTX 1050 TI 4GT OC, 4GB, GDDR5, 128-bit, 912-V809-2272;0;0
295;Placa de Video Duex Geforce GTX 1060, 3GB, GDDR5, 192Bit, DX GTX1060-3GD5;0;0
296;Placa de Video Asus GeForce GTX 1650 Phoenix OC, 4GB, GDDR5, 128-bit, PH-GTX1650-O4G;0;0
297;Placa de Video PNY Quadro T600, 4GB, GDDR6, 128-bit, VCNT600-PB;0;0
298;Placa de Video Mancer Radeon RX 550, 4GB, GDDR5, 128-bit, MCR-RX5504GD5-V2;0;0
299;Placa de Video Galax Geforce RTX 3080 SG 1-Click OC, LHR, 10GB, GDDR6X, 320-bit, 38NWM3MD99RG;0;0
300;Placa de Video Gigabyte Radeon RX 6800 XT Aorus Master, 16GB, GDDR6, 2‎56-bit, GV-R68XTAORUS M-16GD;0;0
301;Placa de Video Gigabyte Radeon RX 6600 Eagle, 8GB, GDDR6, 128-Bit, GV-R66EAGLE-8GD;0;0
302;Placa de Video PNY Quadro T400, 2GB, GDDR6, 64-bit, VCNT400-PB-IMP;0;0
303;Placa de Video Asus GeForce RTX 3060 TUF Gaming OC, 12GB, GDDR6, 192-bit, TUF-RTX3060-O12G-V2-GAMING-NAC;0;0
304;Placa de Video Galax GeForce RTX 3080 Hall Of Fame, LHR, 10GB, GDDR6X, 320-bit, 38NWM3MD3BJJ;0;0
305;Placa de Video PNY Quadro T400, 2GB, GDDR6, 64-bit, VCNT400-PB-NAC;0;0
306;Placa de Video MSI GeForce RTX 3060 Ti Gaming X, LHR, 8GB, GDDR6, 256-bit, 912-V397-234;0;0
307;Placa de Video MSI GeForce RTX 3080 Ventus 3x OC Edition, LHR, 10GB, GDDR6X, 320-bit, 912-V389-212;0;0
308;Placa de Video Galax GeForce GTX 1660 Super 1-Click OC, 6GB, GDDR6, 192-bit, 60SRL7DSY91S-NAC;0;0
309;Placa de Video Galax GeForce GTX 1660 1-Click OC, 6GB, GDDR5, 192-bit, 60SRH7DSY91C-NAC;0;0
310;Placa de Video Galax Geforce GTX 1050 Ti 1-Click OC, 4GB, GDDR5, 128-Bit, 50IQH8DSQ3CC-NAC;0;0
311;Placa de Video Asus Radeon RX 6600 Dual, 8GB, GDDR6, 128-Bit, DUAL-RX6600-8G;0;0
312;Placa de Video Asus Radeon RX 6700 XT Dual OC Edition, 12GB, GDDR6, 192-bit, DUAL-RX6700XT-O12G;0;0
313;Placa de Video Mancer Radeon RX 560, 4GB, GDDR5, 128-bit, MCR-RX5604GD5-V1;0;0
314;Placa de Video Mancer Radeon RX 550, 4GB, GDDR5, 128-bit, MCR-RX5504GD5-V1;0;0
315;Placa de Video Gigabyte GeForce RTX 2060 D6, 6GB, GDDR6, 192-bit, GV-N2060D6-6GD-REV-2.0;0;0
316;Placa de Video Asus GeForce RTX 3060 Dual OC Edition, LHR, 12GB, GDDR6, 192-bit, DUAL-RTX3060-O12G-V2-NAC;0;0
317;Placa de Video Galax GeForce RTX 3060 1-Click OC, LHR, 12GB, GDDR6, 192-bit, 36NOL7MD1VOC-NAC;0;0
318;Placa de Video Gigabyte GeForce RTX 3060 Eagle, LHR, 12GB, GDDR6, 192-bit, GV-N3060EAGLE-12GD REV 2.0 NAC;0;0
319;Placa de Video Gigabyte GeForce RTX 3060 Ti Eagle, LHR, 8GB, GDDR6, 256-bit, GV-N306TEAGLE-8GD REV 2.0 NAC;0;0
320;Placa de Video Asus GeForce RTX 3060 ROG Strix OC, LHR, 12GB, GDDR6, 192-bit, ROG-STRIX-RTX3060-O12G-V2-GAMING;0;0
321;Placa de Video Asus GeForce RTX 3060 TUF Gaming OC, 12GB, GDDR6, 192-bit, TUF-RTX3060-O12G-V2-GAMING;0;0
322;Placa de Video Asus GeForce RTX 3080 ROG Strix White Edition OC, LHR, 10GB, GDDR6X, 320-bit, ROG-STRIX-RTX3080-O10G-WHITE-V2;0;0
323;Placa de Video Asus GeForce RTX 3080 Ti TUF Gaming, LHR, 12GB, GDDR6X, 384-bit, TUF-RTX3080TI-12G-GAMING;0;0
324;Placa de Video Asus GeForce GTX 1660 Ti TUF Gaming OC, 6GB, GDDR6, 192-bit, TUF-GTX1660TI-O6G-EVO-GAMING;0;0
325;Placa de Video Asus GeForce RTX 3060 Ti ROG Strix OC, LHR, 8GB, GDDR6, 256-bit, ROG-STRIX-RTX3060TI-O8G-V2-GAMING;0;0
326;Placa de Video Asus GeForce RTX 3060 KO OC, LHR, 12GB, GDDR6, 192-bit, KO-RTX3060-O12G-V2-GAMING;0;0
327;Placa de Video Asus GeForce RTX 3060 Ti KO OC, LHR, 8GB, GDDR6, 256-bit, KO-RTX3060TI-O8G-V2-GAMING;0;0
328;Placa de Video Asus GeForce RTX 3060 Ti ROG Strix, LHR, 8GB, GDDR6, 256-bit, ROG-STRIX-RTX3060TI-8G-V2-GAMING;0;0
329;Placa de Video Asus GeForce RTX 3060 Ti Dual Mini, LHR, 8GB, GDDR6, 256-bit, DUAL-RTX3060TI-8G-MINI-V2;0;0
330;Placa de Video Asus GeForce RTX 3080 ROG Strix OC, LHR, 10GB, GDDR6X, 320-bit, ROG-STRIX-RTX3080-O10G-V2-GAMING;0;0
331;Placa de Video Asus GeForce GTX 1650 TUF Gaming OC, 4GB, GDDR6, 128-bit, TUF-GTX1650-O4GD6-P-GAMING-NAC;0;0
332;Placa de Video Asus GeForce GTX 1650 TUF Gaming, 4GB, GDDR6, 128-bit, TUF-GTX1650-4GD6-GAMING-NAC;0;0
333;Placa de Video Gigabyte GeForce RTX 3060 Ti Gaming OC PRO, LHR, 8GB, GDDR6, 256-bit, GV-N306TGAMINGOC PRO-8GD REV 3.0;0;0
334;Placa de Video Gigabyte GeForce GTX 1650 D6 OC, 4GB, GDDR6, 128-bit, GV-N1656OC-4GD REV 2.0-NAC;0;0
335;Placa de Video Gigabyte GeForce RTX 3060 Ti Aorus Elite, LHR, 8GB, GDDR6, 256-bit, GV-N306TAORUS E-8GD REV 2.0;0;0
336;Placa de Video Afox GeForce GTX 750TI, 4GB, GDDR5, 128-Bit, AF750TI-4096D5H4;0;0
337;Placa de Video Gigabyte GeForce RTX 3080 Ti Eagle, 12GB, GDDR6X, 384-bit, GV-N308TEAGLE-12GD;0;0
338;Placa de Video Gigabyte Radeon RX 6700 XT Aorus Elite, 12GB, GDDR6, 192-bit, GV-R67XTAORUS E-12GD;0;0
339;Placa de Video Sapphire Radeon RX 6700 XT Pulse OC, 12GB, GDDR6, 192-Bit, 11306-05-20G;0;0
340;Placa de Video PNY GeForce GTX 1650, 4GB, GDDR6, 128-bit, VCG16504D6DFPPB-NAC;0;0
341;Placa de Video MSI GeForce RTX 3060 Ti Ventus 3X OC LHR, 8GB, GDDR6, 256-bit, 912-V397-246;0;0
342;Placa de Video MSI GeForce RTX 3060 Ventus 2X OC, 12GB, GDDR6, 192-bit, 912-V397-050;0;0
343;Placa de Video Galax Geforce GTX 1050 Ti 1-Click OC, 4GB, GDDR5, 128-Bit, 50IQH8DSQ3CC;0;0
344;Placa de Video Galax Geforce RTX 3060 Ti 1-Click OC LHR, 8GB, GDDR6, 256-Bit, 36ISL6MD1VQW;0;0
345;Placa de Video Galax Geforce RTX 3080 Ti Hall Of Fame, 12GB, GDDR6X, 384-Bit, 38IOM5MD3BHX;0;0
346;Placa de Video Zotac GeForce RTX 3060 Twin Edge, 12GB, GDDR6, 192-Bit, ZT-A30600E-10M;0;0
347;Placa de Video Zotac GeForce RTX 3080 Trinity LHR, 10GB, GDDR6X, 320-bit, ZT-A30800D-10PLHR;0;0
348;Placa de Video Zotac GeForce RTX 3070 Twin Edge LHR, 8GB, GDDR6, 256-bit, ZT-A30700E-10PLHR;0;0
349;Placa de Video Zotac GeForce RTX 3060 Ti Twin Edge LHR, 8GB, GDDR6, 256-Bit, ZT-A30610E-10MLHR;0;0
350;Placa de Video Galax GeForce RTX 3070 Ti SG 1-Click OC, 8GB, GDDRX6, 256-bit, 37ISM6MD4BSG-NAC;0;0
351;Placa de Video Asus Radeon RX 6600 XT ROG Strix OC Edition, 8GB, GDDR6, 128-Bit, ROG-STRIX-RX6600XT-O8G-GAMING;0;0
352;Placa de Video Gigabyte Radeon RX 6600 XT Gaming OC Pro, 8GB, GDDR6, 128-Bit, GV-R66XTGAMINGOC PRO-8GD;0;0
353;Placa de Video Sapphire Radeon RX 6600 XT Pulse OC, 8GB, GDDR6, 128-Bit, 11309-03-20G;0;0
354;Placa de Video Sapphire Radeon RX 6600 XT Nitro+ OC, 8GB, GDDR6, 128-Bit, 11309-01-20G;0;0
355;Placa de Video ASRock Radeon RX 6600 XT Challenger Pro OC, 8GB, GDDR6, 128-Bit, RX6600XT CLP 8GO;0;0
356;Placa de Video Asus Radeon RX 6600 XT Dual OC Edition, 8GB, GDDR6, 128-Bit, DUAL-RX6600XT-O8G;0;0
357;Placa de Video Asus GeForce RTX 3070 OC LHR 8GB GDDR6 Dual 256-bit, DUAL-RTX3070-O8G-V2;0;0
358;Placa de Video Gigabyte GeForce RTX 3060 Gaming OC LHR 12GB GDDR6 192-bit, GV-N3060GAMING OC-12GD REV 2.0;0;0
359;Placa de Video Gigabyte GeForce RTX 3060 Aorus Elite LHR 12GB GDDR6 192-bit, GV-N3060AORUS E-12GD REV 2.0;0;0
360;Placa de Video Gigabyte GeForce RTX 3060 Eagle OC LHR 12GB GDDR6 192-bit, GV-N3060EAGLE OC-12GD REV 2.0;0;0
361;Placa de Video Duex Geforce G210 1GB DDR3 64bit, DX G210LP-1GD3;0;0
362;Placa de Video Afox Radeon R5 230 2GB DDR3 64-bit, AFR5230-2048D3L4;0;0
363;Placa de Video Gigabyte GeForce RTX 3060 Eagle LHR 12GB GDDR6 192-bit, GV-N3060EAGLE-12GD REV 2.0;0;0
364;Placa de Video Gigabyte GeForce RTX 3080 Ti Aorus Master 12GB GDDR6X 384-bit, GV-N308TAORUS M-12GD;0;0
365;Placa de Video Gigabyte GeForce RTX 3080 Gaming OC Waterforce WB 10GB GDDR6X 320-bit, GV-N3080GAMINGOC WB-10GD;0;0
366;Placa de Video Gigabyte GeForce RTX 3090 Vision OC 24GB GDDR6X 384-bit, GV-N3090VISION OC-24GD;0;0
367;Placa de Video Asus GeForce RTX 3070 Ti OC 8GB GDDR6X ROG Strix 256-bit, ROG-STRIX-RTX3070TI-O8G-GAMING;0;0
368;Placa de Video Zotac GeForce RTX 3080 Ti Trinity 12GB GDDR6X 384-bit, ZT-A30810D-10P;0;0
369;Placa de Video Zotac GeForce GTX 1660 Super 6GB GDDR6 AMP 192-bit, ZT-T16620D-10M;0;0
370;Placa de Video Zotac GeForce RTX 3070 Ti Trinity 8GB GDDR6X 256-bit, ZT-A30710D-10P;0;0
371;Placa de Video Zotac GeForce RTX 2060 6GB GDDR6 192-bit, ZT-T20600H-10M;0;0
372;Placa de Video Gigabyte GeForce RTX 3070 Ti Aorus Master 8GB GDDR6X 256-bit, GV-N307TAORUS M-8GD;0;0
373;Placa de Video Gigabyte GeForce RTX 3080 Ti Gaming OC 12GB GDDR6X 384-bit, GV-N308TGAMING OC-12GD;0;0
374;Placa de Video Gigabyte GeForce RTX 3080 Ti Vision OC 12GB GDDR6X 384-bit, GV-N308TVISION OC-12GD;0;0
375;Placa de Video Asus GeForce RTX 3070 ROG Strix OC LHR 8GB GDDR6 256-bit, ROG-STRIX-RTX3070-O8G-V2-GAMING;0;0
376;Placa de Video Asus GeForce RTX 3060 Ti TUF Gaming OC LHR 8GB GDDR6 256-bit, TUF-RTX3060TI-O8G-V2-GAMING;0;0
377;Placa de Video Asus GeForce RTX 3070 TUF Gaming OC LHR 8GB GDDR6 256-bit, TUF-RTX3070-O8G-V2-GAMING;0;0
378;Placa de Video Asus GeForce RTX 3070 Ti OC 8GB GDDR6X TUF Gaming 256-bit, TUF-RTX3070TI-O8G-GAMING;0;0
379;Placa de Video Galax GeForce RTX 3070 Ti SG 8GB GDDR6X 1-Click OC 256-bit, 37ISM6MD4BSG;0;0
380;Placa de Video Asus GeForce RTX 3070 Ti 8GB GDDR6X TUF Gaming 256-bit, TUF-RTX3070TI-8G-GAMING;0;0
381;Placa de Video Asus GeForce RTX 3060 OC LHR 12GB GDDR6 Dual 192-bit, DUAL-RTX3060-O12G-V2;0;0
382;Placa de Video Sapphire Pulse Radeon RX 6800 XT 16GB GDDR6 OC 256-bit, 11304-03-20G;0;0
383;Placa de Video Asus GeForce RTX 3080 Ti OC 12GB GDDR6X ROG Strix 384-bit, ROG-STRIX-RTX3080TI-O12G-GAMING;0;0
384;Placa de Video Asus GeForce RTX 3080 Ti OC 12GB GDDR6X TUF Gaming 384-bit, TUF-RTX3080TI-O12G-GAMING;0;0
385;Placa de Video Asus Radeon RX 6900 XT 16GB GDDR6 TOP OC Edition ROG Strix LC 2‎56-bit, ROG-STRIX-LC-RX6900XT-T16G-GAMING;0;0
386;Placa de Video Asrock Radeon RX 6700 XT Challenger D 12GB GDDR6 OC 192-bit, 90-GA31ZZ-00UANF;0;0
387;Placa de Vídeo PowerColor Radeon RX 6700 XT Hellhound Spectral White 12GB GDDR6 192bit, AXRX 6700XT 12GBD6-3DHL;0;0
388;Placa de Vídeo PowerColor Radeon RX 6700 XT Hellhound 12GB GDDR6 192bit, AXRX 6700XT 12GBD6-3DHL;0;0
389;Placa de Video Zotac GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-Bit, ZT-A30600H-10M;0;0
390;Placa De Video Duex Geforce GTX 750TI 4GB DDR5 128Bit, DX GTX750TI-4GD5;0;0
391;Placa De Video Duex Geforce GTX 1050TI 4GB DDR5 128Bit, DX GTX1050TI-4GD5;0;0
392;Placa De Video Duex Geforce GT 730 2GB DDR3 128Bit, DX GT730LP-2GD3;0;0
393;Placa de Video Galax GeForce GT 1030 2GB DDR4 64-bit, 30NPG4HV00AB;0;0
394;Placa de Video Galax GeForce RTX 3080 Ti SG 12GB GDDR6X 1-Click OC 384-bit, 38IOM5MD99DD;0;0
395;Placa de Video Asus GeForce GTX 1650 4GB GDDR6 OC TUF Gaming 128-bit, TUF-GTX1650-O4GD6-GAMING;0;0
396;Placa de Video Sapphire Radeon RX 6700 XT Gaming OC 12GB GDDR6 Nitro+ 192-bit, 11306-01-20T;0;0
397;Placa de Video Asus GeForce GTX 1650 4GB GDDR6 TUF Gaming 128-bit, TUF-GTX1650-4GD6-GAMING;0;0
398;Placa de Video AsRock Radeon RX 6700 XT 12GB Phantom Gaming OC Edition GDDR6 192-bit, 90-GA2EZZ-00UANF;0;0
399;Placa de Video Asus GeForce RTX 3060 12GB GDDR6 TUF Gaming 192-bit, TUF-RTX3060-12G-GAMING;0;0
400;Placa de Video Asus Radeon RX 570 OC 8GB GDDR5 ROG Strix 256-bit, ROG-STRIX-RX570-O8G-GAMING;0;0
401;Placa de Video Asus Radeon RX 6900 XT 16GB GDDR6 OC ROG Strix LC 2‎56-bit, ROG-STRIX-LC-RX6900XT-O16G-GAMING;0;0
402;Placa de Video PNY GeForce GTX 1660 Super 6GB GDDR6 OC XLR8 192-bit, VCG16606SSFPPB-O;0;0
403;Placa de Video Gigabyte GeForce RTX 3060 Eagle OC 12GB GDDR6 192-bit, GV-N3060EAGLE OC-12GD;0;0
404;Placa de Video Gigabyte GeForce RTX 3060 Eagle 12GB GDDR6 192-bit, GV-N3060EAGLE-12GD;0;0
405;Placa de Video Gigabyte GeForce RTX 3060 Gaming OC 12GB GDDR6 192-bit, GV-N3060GAMING OC-12GD;0;0
