;Marca;Preco;Preco Boleto
44;Placa de Video AMD Radeon PRO W6600, 8GB, GDDR6, 128-bit, 100-506208; 5,175.29;4,399.00
45;Placa de Video Asus GeForce RTX 3050 Phoenix , 8GB, GDDR6, 128-bit, PH-RTX3050-8G; 2,470.58;2,099.99
46;Placa de Video Galax GeForce RTX 3050 EX 1-Click OC, 8GB, GDDR6, 128-bit, 35NSL8MD6YEX; 3,077.06;2,615.50
47;Placa de Video Gigabyte Radeon RX 6500 XT Gaming OC, 4GB, GDDR6, 64-Bit, GV-R65XTGAMING OC-4GD; 1,952.93;1,659.99
48;Placa de Video Asus GeForce RTX 2060 Dual OC Edition, 12GB, GDDR6, 192-bit, DUAL-RTX2060-O12G-EVO; 2,541.17;2,159.99
49;Placa de Video ASRock Radeon RX 6600 Challenger D, 8GB, GDDR6, 128-Bit, 90-GA2RZZ-00UANF; 2,588.22;2,199.99
50;Placa de Video PNY Quadro RTX A5000, 24GB, GDDR6, 384-bit, VCNRTXA5000-PB; 22,880.86;19,448.73
51;Placa de Video PNY Quadro RTX A4000, 16GB, GDDR6, 256-bit, VCNRTXA4000-PB; 9,411.75;7,999.99
52;Placa de Video Gigabyte GeForce RTX 3070 Aorus Master, LHR, 8GB, GDDR6, 256-bit, GV-N3070AORUS M-8GD REV 2.0; 6,182.34;5,254.99
53;Placa de Video Galax GeForce GTX 1650 EX -Click OC, 4GB, GDDR6, 128-bit, 65SQL8DS66E6-NAC; 1,529.40;1,299.99
54;Placa de Video Gigabyte GeForce RTX 3060 Ti Gaming OC, LHR, 8GB, GDDR6, 256-bit, GV-N306TGAMING OC-8GD REV 2.0; 4,070.58;3,459.99
55;Placa de Video ASRock Radeon RX 6600 XT Phantom Gaming D OC, 8GB, GDDR6, 128-Bit, 90-GA2QZZ-00UANF; 3,176.46;2,699.99
56;Placa de Video ASRock Radeon RX 6600 XT Challenger D OC, 8GB, GDDR6, 128-Bit, 90-GA2TZZ-00UANF; 2,941.17;2,499.99
57;Placa de Video Asus GeForce RTX 3060 Ti V2 OC LHR 8GB GDDR6 Dual 256-bit, DUAL-RTX3060TI-O8G-V2; 4,470.58;3,799.99
58;Placa De Video Duex Geforce GT 730 4GB DDR3 128Bit, DX GT730LP-4GD3; 541.06;459.90
59;Placa de Video Afox Radeon R5 220 2GB DDR3 64-bit, AFR5220-2048D3L5-V2; 258.71;219.90
60;Placa de Video Asus GeForce RTX 2060 Dual OC Edition 6GB GDDR6 192-bit, DUAL-RTX2060-O6G-EVO; 2,352.93;1,999.99
61;Placa de Video Gigabyte GeForce GT 1030 2GB DDR4 Low Profile D4 64-bit, GV-N1030D4-2GL; 618.81;525.99
62;Placa de Video Galax GeForce GT 1030 2GB GDDR5 64-bit, 30NPH4HVQ4ST; 741.17;629.99
63;Placa de Video Gigabyte GeForce GT 1030 2GB GDDR5 Low Profile 64-bit, GV-N1030D5-2GL; 656.46;557.99
64;Placa de Video Gigabyte GeForce RTX 4070 Ti Eagle OC, 12GB, GDDR6X, 192-bits, GV-N407TEAGLE OC-12GD;0;0
65;Placa de Video Gigabyte GeForce RTX 2060 WindForce OC, 12GB, GDDR6, 192-bit, GV-N2060WF2OC-12GD-NAC;0;0
66;Placa de Video Gigabyte GeForce GTX 1660 OC, 6GB, GDDR5, 192-bit, GV-N1660OC-6GD-NAC;0;0
67;Placa de Video ASRock Radeon RX 7900 XTX, 24GB, GDDR6, 384-bit, 90-GA44ZZ-00UANL;0;0
68;Placa de Video Sapphire Radeon RX 7900 XTX Gaming, 24GB, GDDR6, 384-bit, 21322-01-20G;0;0
69;Placa de Video Galax Geforce RTX 3060 Ti 1-Click OC Plus, 8GB, GDDR6X, 256-Bit, 36ISM6MD2KCV;0;0
70;Placa de Video Galax Geforce RTX 3060 1-Click OC, 8GB, GDDR6, 128-Bit, 36NSL8MD6OCC;0;0
71;Placa de Video Gigabyte GeForce RTX 4090 Gaming OC, 24GB, GDDR6X, 384-bit, GV-N4090GAMING OC-24GD;0;0
72;Placa de Video Duex Radeon RX550, 4GB, GDDR5, 128-bit, DX RX550-4GB;0;0
73;Placa de Video Gigabyte GeForce RTX 3050 Eagle, 8GB, GDDR6, 128-bit, GV-N3050EAGLE-8GD;0;0
74;Placa de Video Gigabyte GeForce RTX 3060 Ti Eagle OC, LHR, 8GB, GDDR6, 256-bit, GV-N306TEAGLE OC-8GD REV 2.0;0;0
75;Placa de Video Gigabyte GeForce RTX 3070 Vision OC, LHR, 8GB, GDDR6, 256-bit, GV-N3070VISION OC-8GD REV 2.0;0;0
76;Placa de Video Gigabyte GeForce RTX 3060 Vision OC, 12GB, GDDR6, 192-bit, GV-N3060VISION OC-12GD REV 2.0;0;0
77;Placa de Video Asus GeForce RTX 3060 Dual OC, 8GB, GDDR6, 128-bit, DUAL-RTX3060-O8G;0;0
78;Placa de Video Asus GeForce RTX 3060 Ti TUF Gaming OC, LHR, 8GB, GDDR6X, 256-bit, TUF-RTX3060TI-O8GD6X-GAMING;0;0
79;Placa de Video Asus GeForce RTX 3080 TUF Gaming, LHR, 10GB, GDDR6X, 320-bit, TUF-RTX3080-10G-V2-GAMING-NAC;0;0
80;Placa de Video Asus GeForce RTX 3080 Ti TUF Gaming, LHR, 12GB, GDDR6X, 384-bit, TUF-RTX3080TI-12G-GAMING-NAC;0;0
81;Placa de Video Asus GeForce RTX 3070 Ti ROG Strix OC, 8GB, GDDR6X, 256-bit, ROG-STRIX-RTX3070TI-O8G-GAMING-NAC;0;0
82;Placa de Video Asus GeForce GTX 1660 Super Phoenix OC, 6GB, GDDR6, 192-bit, PH-GTX1660S-O6G-NAC;0;0
83;Placa de Video Asus GeForce RTX 3060 Ti Dual V2 OC, LHR, 8GB, GDDR6, 256-bit, DUAL-RTX3060TI-O8G-V2-NAC;0;0
84;Placa de Video Asus GeForce GTX 1660 Super TUF Gaming OC, 6GB, 192-bit, TUF-GTX1660S-O6G-GAMING-NAC;0;0
85;Placa de Video Zotac GeForce RTX 3090 Trinity OC, 24GB, GDDR6X, 384-bit, ZT-A30900J-10P;0;0
86;Placa de Video Zotac GeForce RTX 3090 AMP Extreme Holo, 24GB, GDDR6X, 384-bit, ZT-A30900B-10P;0;0
87;Placa de Video Zotac GeForce RTX 3080 Ti AMP Extreme Holo, 12GB, GDDR6X, 384-bit, ZT-A30810B-10P;0;0
88;Placa de Video Zotac GeForce RTX 3080 Trinity OC White Edition LHR, 10GB, GDDR6X, 320-bit, ZT-A30800K-10PLHR;0;0
89;Placa de Video Zotac GeForce RTX 3070 Ti AMP Extreme Holo, 8GB, GDDR6X, 256-Bit, ZT-A30710B-10P;0;0
90;Placa de Video Zotac GeForce RTX 3070 AMP Holo LHR, 8GB, GDDR6, 256-Bit, ZT-A30700F-10PLHR;0;0
91;Placa de Video Zotac GeForce RTX 3070 Twin Edge OC LHR, 8GB, GDDR6, 256-Bit, ZT-A30700H-10PLHR;0;0
92;Placa de Video Zotac GeForce RTX 3070 Twin Edge OC White Edition LHR, 8GB, GDDR6, 256-Bit, ZT-A30700J-10PLHR;0;0
93;Placa de Video Zotac GeForce RTX 3060 Ti Twin Edge OC LHR, 8GB, GDDR6, 256-Bit, ZT-A30610H-10MLHR;0;0
