index	marca	preco
47	Cadeira Gamer Fox Racer Cross, Camuflada, Ajuste de altura, Almofada, Peso Suportado 120kg	R$ 599,45
48	Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 2D, Preto - XTS190	R$ 1.049,99
49	Cadeira Gamer DT3 Elise, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto - 13436-7	R$ 1.489,99
50	Cadeira Gamer Mymax MX7, Suportado até 150Kg, Giratória, Preto e Verde	R$ 679,15
51	Cadeira Gamer ThunderX3 TGC12, Até 120kg, Com Almofadas, Descanso de Braço 2D, Preto e Azul	R$ 1.319,99
52	Cadeira Gamer Flexinter Raven X-30, Preto,  Até 200Kg, com Almofadas, Descanso de Braço 4D, Encosto Reclinável, Trava de Inclinação, Preto - CDRVX30PP	R$ 1.599,99
53	Cadeira Gamer Corsair T3 Rush, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Cinza e Branco  - CF-9010030-WW	R$ 1.899,99
54	Cadeira Gamer Husky Gaming Hailstorm, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - HHA-BK	R$ 979,99
55	Cadeira Gamer Flexinter Raven X-10, Até 150kg, com Almofadas, Descanso  de Braço 2D, Preto - CDRVX10TP	R$ 879,99
56	Cadeira Gamer Mymax MX7, Suportado até 150Kg, Giratória, Preto e Rosa	R$ 799,00
57	Cadeira Gamer Corsair TC60 Fabric, Até 120Kg,  Apoio de Braços 3D, Reclinável, Cilindro de Gás Classe 4, Preto e Cinza - CF-9010035-WW	R$ 1.299,99
58	Cadeira Gamer XT Racer Platinum W Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Marrom - XTR-016	R$ 1.449,99
59	Cadeira Gamer Alpha Gamer Alegra Fabric Cinza - AGALEGRA-F-GRY	R$ 1.899,99
60	Cadeira Gamer Fox Racer Pro, Até 120 Kg, Com Almofadas, Reclinável, Descanso De Braço Ajustável, Preto	R$ 799,90
61	Cadeira Gamer Draxen DN2, 150 kg, Altura Ajustáveis, Reclinação, com almofadas, Preto	R$ 1.104,15
62	Cadeira Gamer Fox Racer Extreme C565, Peso suportado: até 130kg,Com Almofadas, Reclinável, Descanso De Braço, Preta/vermelha	R$ 799,90
63	Cadeira Gamer Preta Com RGB E Iluminação LED Fox Racer	R$ 1.099,90
64	Cadeira Gamer ThunderX3 TGC12, Black Green	R$ 1.319,99
65	Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Cinza - XTS130	R$ 959,99
66	Cadeira Gamer DT3sports Romeo, Até 110kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto e Azul - 11203-7	R$ 1.349,99
67	Cadeira Gamer DT3 Sports Nero, Até 125 Kg, Com Almofada, Reclinável, Apoio de Braço 3D, Preto - 13367-0	R$ 1.649,99
68	Cadeira Gamer, Prizi Runner, Até 180Kg, Inclinação multifuncional, Vermelha/Preta	R$ 465,41
69	Cadeira Gamer Prizi Lord - Vermelha	R$ 993,61
70	Cadeira Gamer, Prizi Infinity, Até 150Kg - Vermelha	R$ 616,45
71	Cadeira Gamer Prizi Infinity, 150KG, Escritório, Azul	R$ 566,11
72	Cadeira Gamer MyMax, Giratoria, Preto -  MX12	R$ 934,15
73	Cadeira Gamer Corsair TC70 Remix,  Até 120Kg, Apoio de Braços 3D, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010038-WW	R$ 1.299,99
74	Cadeira Gamer Husky Gaming Storm, Preto e Branco, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BW	R$ 889,99
75	Cadeira Gamer Husky Gaming Snow, Preto e Azul, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BB	R$ 589,99
76	Cadeira Gamer XT Racer Defender, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto e Vermelho - XTR-030	R$ 1.199,99
77	Cadeira Gamer Pcyes Mad Racer V8 Turbo, Peso Suportado até  180Kg, Função Relax, Preta - V8tbmadpt	R$ 1.799,90
78	Cadeira Gamer, Prizi, Infinity, Até 150Kg, inclinação multifuncional  - Amarela	R$ 566,11
79	Cadeira Gamer, Prizi Runner - Roxa	R$ 465,41
80	Cadeira Gamer Mymax Mx1, Peso Suportado até 120Kg, Giratória, Preto E Rosa -  94013900	R$ 560,15
81	Cadeira Gamer Mymax MX8, Suportado até 150Kg, Giratória, Preto - Mgch-8170/bk	R$ 764,15
82	Cadeira Gamer Fox Racer, Peso Suportado até 130Kg, LED RGB, Branco	R$ 1.249,00
83	Cadeira Gamer Husky Gaming Storm, Preto e Vermelho, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BR	R$ 969,99
84	Cadeira Gamer Husky Gaming Frost, Preto e Laranja, Cilindro de Gás Classe 3, Base em Nylon, Roda em Nylon - HFR-BO	R$ 689,99
85	Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 2D, Preto e Vermelho - XTS180	R$ 1.049,99
86	Cadeira Gamer ThunderX3 TGC12 Profissional, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Branco e Preto - 78202	R$ 1.329,99
87	Cadeira Gamer Husky Gaming Blizzard RGB, Preto, Luz RGB, Com Almofadas, Reclinável - HBL-RGB	R$ 999,99
88	Cadeira Gamer Alpha Gamer Vega, Preto e Azul, Reclinável, com Almofadas, Cilindro de Gás Classe 4	R$ 1.198,99
89	Cadeira Gamer Alpha Gamer Vega, Preto e Vermelho, Reclinável, com Almofadas, Cilindro de Gás Classe 4	R$ 1.149,99
90	Cadeira Gamer Husky Gaming Storm, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HST-BB	R$ 889,99
91	Cadeira Gamer ThunderX3 TGC12 EVO, Até 125Kg, com Almofadas, Cilindro de Gás, Branco - 76421	R$ 1.379,99
92	Cadeira Gamer Thunderx3 BC3, Peso Suportado até 150Kg, Base resistente de metal, Vermelha	R$ 1.566,88
93	Cadeira Gamer Fox Racer Fennec, até 125KG, Com Almofadas, Ajuste de altura e rotação, Camuflada	R$ 799,90
94	Cadeira Gamer PCTOP Racer, Peso Suportado até 120Kg, Reclinável, Descanso de Pés, Preta e Branca - 1006	R$ 725,00
95	Cadeira Gamer Noblechairs Epic Copper Limited Edition, Preta/Cobre - PGW-NB-EGC-016	R$ 2.599,99
96	Cadeira Gamer DT3Sports Royce, com Almofada, Reclinável, Apoio de Braço 4D, Cool Black - 13291-6	R$ 2.899,99
97	Cadeira Gamer Corsair  T1 Race, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010011	R$ 1.849,99
98	Cadeira Gamer Prizi Runner - Branca	R$ 465,41
99	Cadeira Gamer Profissional ThunderX3 TGC12, Peso Suportado até 120Kg, Preto	R$ 1.281,15
100	Cadeira Gamer ThunderX3 BC3 Camo/CZ, Black Hawk - 67994	R$ 1.249,99
101	Cadeira Gamer Husky Gaming Snow, Preto e Verde, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HGMA018	R$ 589,99
102	Cadeira Gamer Corsair T2 Road Warrior, Até 136Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Preto e Azul - CF-9010009-WW	R$ 2.199,99
103	Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Vermelho - XTS140	R$ 959,99
104	Cadeira Gamer Alpha Gamer Zeta, Até 120 Kg, Preto e Vermelho - AGZETA-BK-R	R$ 999,99
105	Rodízios para Cadeiras Husky Gaming Storm, Blizzard e Hailstorm KIT C/ 5 Preto - HAC-RSBHBL	R$ 94,99
106	Cadeira Gamer Alpha Gamer Vega, Até 150Kg, Cilindro de Gás 4,  Braço Ajustável, Preto e Laranja	R$ 1.029,99
107	Cadeira Gamer Husky Gaming Snow, Preto e Branco, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BW	R$ 589,99
108	Cadeira Gamer Alpha Gamer Kappa, Até 150 kg, Apoio de Braço Acolchoado, Cilindro de Gás Classe 4, Preto e Verde - AGKAPPA-BK-GRN	R$ 649,99
109	Cadeira Gamer Alpha Gamer Polaris Office Edition, Até 150Kg, Cilindro de Gás 4, Descanso de Braço 4D, Preto e Castanho - AGPOLARISOE-BWN	R$ 1.599,99
