;marca;preco
95;Cadeira Gamer DT3Sports Royce, com Almofada, Reclinável, Apoio de Braço 4D, Cool Black - 13291-6;R$ 2.899,99
96;Cadeira Gamer XT Racer Viking Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 3D, Preto e Vermelho - XTR-026;R$ 1.299,99
97;Cadeira Gamer ThunderX3 TGC12 Profissional, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Branco e Preto - 78202;R$ 1.319,99
98;Cadeira Gamer Corsair T2 Road Warrior, Até 136Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Preto e Azul - CF-9010009-WW;R$ 2.199,99
99;Cadeira Gamer Corsair  T1 Race, Até 120Kg, Apoio de Braços 4D, com Almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010011;R$ 1.849,99
100;Cadeira Gamer X Fusion, Suporta até 120Kg, Rosa - C.123;R$ 775,95
101;Cadeira Gamer ThunderX3 TGC12, Até 150Kg, Reclinável, com Almofadas, Gás Classe 4, Preto e Vermelho;R$ 1.117,74
102;Cadeira Gamer Prizi Infinity, 150KG, Escritório, Azul;R$ 566,11
103;Cadeira Gamer, Prizi Infinity, Até 150Kg - Vermelha;R$ 616,45
104;Cadeira Gamer PCYES Mad Racer V12, Peso Suportado até 180Kg, Suede Impermeabilizado, Preto - Madv12ptsdg;R$ 2.699,88
105;Cadeira Gamer Alpha Gamer Zeta, Até 120 Kg, Preto e Vermelho - AGZETA-BK-R;R$ 949,99
106;Cadeira Gamer Fortrek Black Hawk Black/Red - 70510;R$ 899,99
107;Cadeira Gamer XT Racer Defender, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Preto e Vermelho - XTR-030;R$ 1.199,99
108;Cadeira Gamer Thunderx3 TGC12 Profissional, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Rosa e Preto - 78203;R$ 1.319,99
109;Cadeira Gamer DT3 Elise, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto e Cinza - 13439-0;R$ 1.489,99
110;Cadeira Gamer ThunderX3 BC3 Camo/CZ, Black Hawk - 67994;R$ 1.249,99
111;Cadeira Gamer Husky Gaming Blizzard, Preto e Azul, Com Almofadas, Reclinável, Descanso de Braço 2D - HBL-BB;R$ 899,99
112;Cadeira Gamer Husky Gaming Snow, Preto e Verde, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HGMA018;R$ 589,99
113;Cadeira Gamer Husky Gaming Snow, Preto e Branco, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BW;R$ 589,99
114;Cadeira Gamer Alpha Gamer Polaris Office Edition, Até 150Kg, Cilindro de Gás 4, Descanso de Braço 4D, Preto e Castanho - AGPOLARISOE-BWN;R$ 1.599,99
115;Cadeira Gamer Corsair TC200 Fabric, Até 120Kg, Apoio de Braços 4D, Com almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010049-WW;R$ 2.499,99
116;Cadeira Gamer Noblechairs HERO Elden Ring Edição Limitada, até 150Kg, com Almofadas, Preto - PGW-NB-HGC-017;R$ 3.549,99
117;Cadeira Gamer Noblechairs EPIC, Black - NBL-PU-BLA-002;R$ 2.849,99
118;Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Vermelho - XTS140;R$ 959,99
119;Cadeira Gamer Husky Gaming Avalanche 900, Preto e Azul, Com Almofadas, Reclinável com Sistema Frog, Descanso de Braço 3D - HGMA086;R$ 1.449,99
120;Cadeira Gamer PCTOP Racer, Peso Suportado até 120Kg, Reclinável, Descanso de Pés, Preta e Branca - 1006;R$ 725,00
121;Cadeira Gamer, MoobX, Fire Profissional Deluxe;R$ 899,90
122;Cadeira Gamer Pelegrin em Couro Pu, Suporta até 120Kg, Preta e Azul - Pel-3016;R$ 464,55
123;Cadeira Gamer Fox Racer, 130Kg, Cinza, Com RGB E Iluminação LED;R$ 999,40
124;Cadeira Gamer Mymax Mx1, Giratória, Preto E Vermelho - mgch-8131/rd;R$ 560,15
125;Cadeira Gamer Corsair TC70 Remix, Até 120Kg, Apoio de Braços 3D, Reclinável, Cilindro de Gás Classe 4, Preto e Cinza - CF-9010038-WW;R$ 1.299,99
126;Cadeira Gamer Noblechairs Epic Copper Limited Edition, Preta/Cobre - PGW-NB-EGC-016;R$ 2.599,99
127;Cadeira Gamer Corsair TC200, Até 120Kg, Apoio de Braços 4D, Com almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010043-WW;R$ 2.299,99
128;Cadeira Gamer Mymax MX0, Peso Suportado até 120Kg, Giratória, Preto - mgch-mx0/bk;R$ 508,30
129;Cadeira Gamer DT3 Grigio, Até 130Kg, Com Almofadas, Reclinável, Descanso de Braço 1D,  Cinza e Preto - 13373-7;R$ 1.529,99
